"animal","date","assay","amount","dpi"
"rh2799",2019-08-15,"Lanciotti_ZIKV_universal",85.25833,45
"rh2799",2019-08-22,"Lanciotti_ZIKV_universal",0,52
"rh2799",2019-08-29,"Lanciotti_ZIKV_universal",0,59
"rh2799",2019-09-12,"Lanciotti_ZIKV_universal",97.166664,73
"rh2799",2019-09-26,"Lanciotti_ZIKV_universal",0,87
"rh2799",2019-10-03,"Lanciotti_ZIKV_universal",0,94
"rh2799",2019-10-10,"Lanciotti_ZIKV_universal",0,101
"rh2799",2019-10-17,"Lanciotti_ZIKV_universal",0,108
"rh2809",2019-09-24,"Lanciotti_ZIKV_universal",0,0
"rh2809",2019-09-25,"Lanciotti_ZIKV_universal",522.5,1
"rh2809",2019-09-26,"Lanciotti_ZIKV_universal",11641.667,2
"rh2809",2019-09-27,"Lanciotti_ZIKV_universal",3016.6667,3
"rh2809",2019-09-28,"Lanciotti_ZIKV_universal",538.3333,4
"rh2809",2019-09-29,"Lanciotti_ZIKV_universal",1111.6666,5
"rh2809",2019-09-30,"Lanciotti_ZIKV_universal",117.25,6
"rh2809",2019-10-01,"Lanciotti_ZIKV_universal",0,7
"rh2809",2019-10-03,"Lanciotti_ZIKV_universal",0,9
"rh2809",2019-10-07,"Lanciotti_ZIKV_universal",0,13
"rh2809",2019-10-10,"Lanciotti_ZIKV_universal",0,16
"rh2809",2019-10-14,"Lanciotti_ZIKV_universal",0,20
"rh2809",2019-10-17,"Lanciotti_ZIKV_universal",0,23
"rh2809",2019-10-21,"Lanciotti_ZIKV_universal",0,27
"rh2809",2019-10-24,"Lanciotti_ZIKV_universal",0,30
"rh2809",2019-10-31,"Lanciotti_ZIKV_universal",0,37
"rh2809",2019-11-07,"Lanciotti_ZIKV_universal",0,44
"rh2809",2019-11-14,"Lanciotti_ZIKV_universal",0,51
"rh2809",2019-11-21,"Lanciotti_ZIKV_universal",0,58
"rh2809",2019-11-27,"Lanciotti_ZIKV_universal",0,64
"rh2809",2019-12-05,"Lanciotti_ZIKV_universal",0,72
"rh2809",2019-12-12,"Lanciotti_ZIKV_universal",0,79
